,Player,Mins,Rating,Market Value,Fee,Class
443,Naïm Sliti,2290,7.01,6.3,1.8,0
444,Kerem Demirbay,2023,7.59,28.0,0.0,0
445,Léo Dubois,2044,7.01,9.0,0.0,1
446,Emiliano Sala,1377,7.0,14.4,15.3,1
447,Marcel Halstenberg,2414,7.56,19.0,0.0,1
448,Sébastien Haller,2181,7.55,40.0,0.0,0
449,Jadon Sancho,2464,7.52,90.0,0.0,1
450,Joshua Kimmich,3060,7.49,63.0,0.0,1
451,Thorgan Hazard,2878,7.44,34.0,0.0,0
452,Thilo Kehrer,1896,6.98,16.2,33.3,1
453,Willi Orban,2050,7.41,18.0,0.0,1
454,Marco Reus,2322,7.39,45.0,0.0,1
455,Kingsley Coman,1392,7.34,54.0,0.0,1
456,Samuel Kalu,1280,6.97,4.5,7.65,1
457,José Fonte,3112,6.97,1.8,0.0,1
458,Kevin Volland,2820,7.28,31.0,0.0,1
459,Yussuf Poulsen,2454,7.27,31.0,0.0,1
460,Marko Grujic,1780,7.26,18.0,0.0,1
461,Filip Kostic,2961,7.26,34.0,0.0,1
462,Julian Brandt,2674,7.26,45.0,0.0,0
463,Kai Havertz,2901,7.25,81.0,0.0,1
464,James Rodríguez,1143,7.24,45.0,0.0,1
465,Joelinton,2136,7.21,31.0,0.0,0
466,Thomas Müller,2391,7.19,31.0,0.0,1
467,Ibrahima Konaté,2431,7.19,40.0,0.0,1
468,Timo Werner,2525,7.17,58.0,0.0,1
469,Mats Hummels,1776,7.17,31.0,0.0,0
470,Serge Gnabry,1774,7.15,54.0,0.0,1
471,Kevin Kampl,2122,7.13,19.0,0.0,1
472,Maximilian Arnold,2879,7.11,16.0,0.0,1
473,Achraf Hakimi,1740,7.11,27.0,0.0,1
474,Damien Le Tallec,2812,6.91,1.58,0.0,1
475,Andrej Kramaric,2404,7.09,34.0,0.0,1
476,Jordan Amavi,2178,6.91,14.4,9.0,1
477,Florian Grillitsch,2395,7.06,19.0,0.0,1
478,Emil Forsberg,1254,7.02,22.0,0.0,1
479,Ondrej Duda,2575,7.02,15.0,0.0,1
480,M'Baye Niang,1794,6.88,9.0,10.8,0
481,David Alaba,2534,7.01,49.0,0.0,1
482,Lukas Klostermann,2003,7.01,27.0,0.0,1
483,Charles Aránguiz,1897,7.0,13.0,0.0,1
484,Mario Götze,1680,7.0,19.0,0.0,1
485,Damien Da Silva,2874,6.88,4.95,0.0,1
486,Luka Jovic,2249,7.0,54.0,0.0,0
487,Milot Rashica,1559,6.98,18.0,0.0,1
488,Jeff Reine-Adélaïde,2566,6.87,2.7,1.44,0
489,Maximilian Eggestein,3053,6.98,27.0,0.0,1
490,Niklas Süle,2652,6.96,54.0,0.0,1
491,Jonathan Tah,2939,6.95,36.0,0.0,1
492,Marcel Sabitzer,2356,6.94,27.0,0.0,1
493,Juan Bernat,1838,6.84,10.8,4.5,1
494,Paco Alcácer,1205,6.93,45.0,0.0,0
495,Dan-Axel Zagadou,1267,6.92,25.0,0.0,1
496,Diego Demme,2061,6.92,15.0,0.0,1
497,Clément Grenier,2668,6.83,3.6,3.6,1
498,Niklas Stark,1871,6.92,18.0,0.0,1
499,Nico Elvedi,2626,6.91,27.0,0.0,1
500,Wendell,2278,6.9,18.0,0.0,1
501,Jonathan Ikoné,2815,6.82,630.0,4.5,1
502,Leon Bailey,1921,6.9,36.0,0.0,1
503,Nico Schulz,2542,6.9,22.0,0.0,0
504,Karim Bellarabi,1061,6.9,13.0,0.0,1
505,Javi Martínez,1313,6.88,24.0,0.0,1
506,Jonathan Gradit,2013,6.8,450.0,0.0,1
507,Jérôme Boateng,1694,6.87,13.0,0.0,1
508,Danny da Costa,3035,6.85,13.0,0.0,1
509,Denis Bouanga,2640,6.79,1.58,2.7,0
510,Kevin Strootman,1941,6.76,25.2,22.5,1
511,Benjamin Henrichs,1827,6.75,10.8,18.0,1
512,Manuel Akanji,2206,6.79,36.0,0.0,1
513,Philipp Max,2575,6.78,15.0,0.0,1
514,Jason Denayer,2748,6.75,2.7,5.85,1
515,Thomas Foket,2880,6.73,3.15,3.15,1
516,Rafael Leão,1295,6.73,5.4,0.0,0
517,Benjamin Pavard,2606,6.73,31.0,0.0,1
518,Matthias Ginter,2380,6.73,31.0,0.0,1
519,Konrad Laimer,1878,6.72,15.0,0.0,1
520,Mathieu Dossevi,2482,6.71,3.15,2.25,1
521,Lucas Alario,1256,6.72,15.0,0.0,1
522,Sergi Palencia,1984,6.71,2.25,0.0,0
523,Julian Weigl,1456,6.71,22.0,0.0,1
524,Loïck Landre,1593,6.69,180.0,135.0,1
525,Saman Ghoddos,1833,6.69,1.58,3.6,1
526,Davie Selke,1731,6.69,13.0,0.0,1
527,Duje Caleta-Car,1546,6.65,9.0,17.1,1
528,Yann Karamoh,1224,6.65,6.3,5.85,1
529,Florian Neuhaus,2072,6.65,19.0,0.0,1
530,Arne Maier,2069,6.65,21.0,0.0,1
531,Moussa Doumbia,1600,6.64,450.0,0.0,1
532,Denis Zakaria,1959,6.63,25.0,0.0,1
533,Aleksandr Golovin,2301,6.63,22.5,27.0,1
534,Karim Rekik,2070,6.62,13.0,0.0,1
535,Moussa Diaby,1131,6.62,450.0,0.0,0
536,Loïc Rémy,1209,6.62,5.4,1.26,1
537,Danilo,1552,6.61,6.3,9.0,0
538,Danilo,1552,6.61,6.3,9.0,0
539,Danilo,1552,6.61,6.3,9.0,0
540,Danilo,1552,6.61,6.3,9.0,0
541,Baptiste Reynet,2705,6.61,4.5,3.6,1
542,Josip Brekalo,1416,6.59,13.0,0.0,1
543,Toma Basic,1336,6.59,1.22,3.15,1
544,Casimir Ninga,2476,6.58,1.35,1.8,1
545,Juan Ferney Otero,2180,6.57,2.7,1.92,1
546,Prince Oniangué,2343,6.57,1.35,450.0,1
547,Stéphane Bahoken,2493,6.57,2.7,0.0,1
548,Boulaye Dia,746,6.56,0.0,0.0,1
549,Gen Shoji,1620,6.56,3.15,2.7,1
550,Jimmy Briand,2501,6.55,2.25,0.0,1
551,Rafael,1019,6.53,720.0,0.0,0
552,Enzo Crivelli,2273,6.5,3.6,2.7,1
553,Anthony Limbombe,1234,6.49,7.2,7.2,2
554,Renato Sanches,567,6.36,16.0,0.0,0
555,Manuel Neuer,2303,6.34,16.0,0.0,2
556,Jean-Kévin Augustin,452,6.32,14.0,0.0,2
557,Ignatius Ganago,1034,6.45,0.0,0.0,2
558,Eric Maxim Choupo-Moting,794,6.42,7.2,0.0,2
559,Nolan Roux,1538,6.42,3.15,0.0,2
560,Manu García,1850,6.4,1.8,0.0,0
561,Manu García,1850,6.4,1.8,0.0,0
562,Junior Sambia,913,6.39,2.25,1.8,2
563,Cheick Timite,1453,6.34,0.0,0.0,2
564,Petar Skuletic,581,6.33,900.0,0.0,2
565,Aaron Leya Iseka,1440,6.25,1.98,1.13,2
566,Rúnar Alex Rúnarsson,2250,6.23,450.0,1.44,2
567,Moussa Sylla,762,6.17,2.7,0.0,2
568,Farid El Melali,310,6.16,540.0,0.0,2
569,Ishak Belfodil,1864,7.29,4.95,4.95,1
570,Wout Weghorst,2931,7.24,6.3,9.45,1
571,Kevin Stöger,2121,7.17,1.8,0.0,1
572,Thomas Delaney,2290,7.13,10.8,18.0,1
573,Axel Witsel,2873,7.11,18.0,18.0,1
574,Jérôme Roussillon,2466,7.03,7.2,4.5,1
575,Marc Oliver Kempf,2026,7.01,3.6,0.0,1
576,Valentino Lazaro,2743,7.0,8.1,9.45,0
577,Nordi Mukiele,1227,6.99,12.6,14.4,1
578,Leon Goretzka,2021,6.96,36.0,0.0,1
579,Nuri Sahin,1487,6.91,4.05,900.0,1
580,Ante Rebic,1985,6.89,9.0,1.8,1
581,Davy Klaassen,2823,6.89,13.5,12.15,1
582,Abdou Diallo,2381,6.88,10.8,25.2,0
583,André Hahn,2050,6.87,1.35,2.7,1
584,Christian Pulisic,924,6.86,45.0,57.6,1
585,Matthias Zimmermann,3050,6.84,900.0,0.0,1
586,Mitchell Weiser,2111,6.76,10.8,10.8,1
587,Benito Raman,1679,6.74,2.25,1.35,0
588,Christian Mathenia,1934,6.71,900.0,450.0,1
589,Dominique Heintz,3054,6.69,6.75,2.7,1
590,Daniel Ginczek,1275,6.68,3.15,12.6,1
591,Yuya Osako,1351,6.65,4.05,4.05,1
592,Michael Lang,1262,6.64,5.18,2.52,1
593,Leonardo Bittencourt,1069,6.6,5.4,5.4,1
594,Kenan Karaman,915,6.59,1.35,0.0,1
595,Javairô Dilrosun,892,6.59,0.0,0.0,1
596,Martin Harnik,829,6.58,2.7,2.03,1
597,Alfredo Morales,1527,6.58,900.0,0.0,1
598,Jérôme Gondorf,1296,6.57,1.35,1.17,1
599,Daniel Didavi,951,6.57,6.3,3.6,1
600,Gonzalo Castro,1694,6.55,7.2,4.5,1
601,Kevin Möhwald,863,6.5,2.25,0.0,1
602,Jean Zimmer,1439,6.5,1.13,810.0,1
603,Claudio Pizarro,677,6.49,450.0,0.0,2
604,Matheus Cunha,849,6.35,1.35,13.5,2
605,Virgil Misidjan,1545,6.35,4.5,2.7,2
606,Daniel Parejo,3063,7.4,46.99131231021562,0.0,1
607,Raúl García,2379,7.17,57.04644539428938,0.0,1
608,Joan Jordán,2879,7.14,59.75718460929414,0.0,0
609,José Campaña,3213,7.1,62.581528171854984,0.0,1
610,Jonathan Calleri,2878,7.08,62.80161284039713,0.0,1
611,Éver Banega,2681,7.08,62.33380176229065,0.0,1
612,Cote,3035,7.06,64.19003786644373,0.0,1
613,Zouhair Feddal,1702,7.04,62.04019636264957,0.0,1
614,Rubén Peña,2674,7.04,64.34838097137788,0.0,0
615,Adnan Januzaj,1254,7.04,60.97634172817391,0.0,1
616,Cristhian Stuani,2731,7.03,64.99153796064849,0.0,1
617,Sofiane Boufal,2100,7.03,63.49311770539373,0.0,1
618,Roberto Rosales,1751,7.02,63.17215643217082,0.0,1
619,José Gayá,3138,6.98,68.49703332085397,0.0,1
620,Jorge Molina,2651,6.97,67.84836682540418,0.0,1
621,Filipe Luís,2038,6.96,66.90049121400813,0.0,0
622,Dimitrios Siovas,2965,6.94,70.11741639305967,0.0,1
623,Thomas Partey,2067,6.93,68.49275825749936,0.0,1
624,Aritz Elustondo,2253,6.93,68.93444790484864,0.0,1
625,Jesús Navas,2714,6.93,70.02917332112821,0.0,1
626,Rodrigo Moreno,2534,6.93,69.6017317269193,0.0,1
627,Ezequiel Garay,2137,6.92,69.16678602857394,0.0,1
628,Guido Carrillo,1995,6.91,69.33738258869124,0.0,1
629,Jony,2985,6.89,72.70391232571603,0.0,1
630,Jonathan Silva,2700,6.89,72.02712980155184,0.0,1
631,Sergio Asenjo,2880,6.89,72.45457139576081,0.0,1
632,Damián Suárez,3240,6.89,73.3094545841787,0.0,1
633,Daniel Carriço,2132,6.88,71.18611458870794,0.0,1
634,Pedro Alcalá,1869,6.88,70.5615749260582,0.0,1
635,Simon Kjaer,2016,6.87,71.41845271243324,0.0,1
636,Álex Granell,2392,6.87,72.31133070922527,0.0,1
637,Franco Vázquez,2290,6.87,72.06911380584023,0.0,1
638,Joaquín,1697,6.87,70.66093122047403,0.0,1
639,Yuri,3121,6.87,74.04246916577154,0.0,1
640,Hugo Mallo,3094,6.86,74.48615341107791,0.0,1
641,José Luis Morales,3197,6.86,74.73074498998642,0.0,1
642,Pape Diop,2356,6.85,73.241443359259,0.0,1
643,Íñigo Martínez,2903,6.85,74.54039087054952,0.0,1
644,Esteban Granero,2020,6.85,72.44355238340228,0.0,1
645,Javi López,1949,6.83,73.29055139011746,0.0,1
646,Iker Muniain,2387,6.83,74.33065926935927,0.0,1
647,Oier Olazábal,1890,6.82,73.65824601867558,0.0,1
648,Djené Dakonam,2981,6.81,76.75681749912434,0.0,1
649,Toni Villa,1774,6.8,74.39838462683866,0.0,1
650,Sergi Enrich,2593,6.8,76.34324388048941,0.0,1
651,Joseba Zaldua,2142,6.8,75.27226521944363,0.0,1
652,Borja García,2639,6.8,76.45247895456504,0.0,1
653,Dídac Vilá,2358,6.79,76.2929956169321,0.0,1
654,Abdoulaye Ba,2113,6.78,76.21900059814095,0.0,1
655,Samuel Chukwueze,1711,6.78,75.26438103774097,0.0,1
656,Kenneth Omeruo,2434,6.78,76.98127144114693,0.0,0
657,Raphael Varane,2757,6.78,77.74829163519968,0.0,1
658,Adrián Embarba,2291,6.78,76.64169284130315,0.0,1
659,Cristian Tello,1560,6.78,74.90580503371012,0.0,1
660,Rubén Duarte,2777,6.77,78.30358563010509,0.0,1
661,Mikel Vesga,2075,6.77,76.63656341269018,0.0,1
662,Bernardo Espinosa,2729,6.77,78.18960120498275,0.0,1
663,Víctor Laguardia,3240,6.76,79.91086088186921,0.0,1
664,Jason,2333,6.76,77.75703018216075,0.0,0
665,Juanpe,2769,6.76,78.7923887103558,0.0,1
666,Jorge Pulido,2790,6.75,79.3500573807845,0.0,1
667,Christian Rivera,1694,6.74,77.25521349159436,0.0,1
668,Denis Cheryshev,1709,6.74,77.2908336244451,0.0,0
669,Unai Bustinza,2029,6.74,78.05072979192767,0.0,1
670,Fernando Pacheco,3150,6.74,80.71274105364012,0.0,1
671,Álex Moreno,3140,6.73,81.196794782844,0.0,1
672,Néstor Araújo,2682,6.73,80.10919339313455,0.0,1
673,Fernando Calero,3130,6.73,81.1730480276102,0.0,0
674,Enis Bardhi,2842,6.73,80.48914147687583,0.0,1
675,Yassine Bounou,2862,6.73,80.53663498734352,0.0,1
676,Alfonso Pedraza,2089,6.72,79.20881129220618,0.0,1
677,Gabriel Mercado,1738,6.72,78.37530018349872,0.0,0
678,Roberto Santamaría,1800,6.72,78.52253006594844,0.0,1
679,David López,1820,6.72,78.57002357641613,0.0,1
680,Diego López,3420,6.72,82.36950441382908,0.0,1
681,Iván Ramis,1682,6.72,78.24231835418925,0.0,1
682,Pablo Fornals,2483,6.71,80.6522339328568,0.0,0
683,Míchel,2554,6.71,80.82083589501701,0.0,1
684,Mario Gaspar,2602,6.71,80.93482032013941,0.0,1
685,Kiko Olivas,3102,6.71,82.12215808183095,0.0,1
686,Santiago Comesaña,2032,6.7,80.0890557562488,0.0,1
687,Anaitz Arbilla,1950,6.7,79.89433236333139,0.0,1
688,Charles,1736,6.7,79.3861518013274,0.0,1
689,Moi Gómez,3061,6.7,82.53259686980999,0.0,1
690,Paulo Oliveira,2243,6.7,80.5901122916826,0.0,1
691,Neto,3060,6.7,82.53022219428658,0.0,0
692,Juanfran,1609,6.69,79.59236849429544,0.0,0
693,Juanfran,1609,6.69,79.59236849429544,0.0,0
694,Óscar Plano,2697,6.69,82.17601546373623,0.0,1
695,Xabier Etxeita,2678,6.69,82.13089662879196,0.0,1
696,Toño,1767,6.68,80.4753677114278,0.0,1
697,Beñat Etxebarria,2045,6.68,81.13552750692827,0.0,1
698,Chimy Avila,1995,6.68,81.0167937307591,0.0,1
699,Martin Braithwaite,1407,6.67,80.12828500744757,0.0,1
700,Luis Advíncula,2391,6.67,82.46496572245655,0.0,1
701,Aissa Mandi,3061,6.67,84.05599832312322,0.0,1
702,Giannelli Imbula,1739,6.67,80.91667728121075,0.0,1
703,Víctor Ruiz,1976,6.67,81.47947538025255,0.0,0
704,Iñigo Córdoba,1324,6.67,79.9311869390068,0.0,1
705,Jaume Costa,1498,6.66,80.85218096451308,0.0,1
706,Pere Pons,2797,6.66,83.93688446938773,0.0,1
707,Álvaro González,2967,6.66,84.34057930836286,0.0,1
708,Sergio Escudero,1553,6.65,81.49058860273692,0.0,1
709,Bruno González,1697,6.65,81.83254187810405,0.0,1
710,Allan-Roméo Nyom,1712,6.65,81.86816201095479,0.0,1
711,Iván Cuéllar,3056,6.65,85.05972591438166,0.0,1
712,Chema Rodríguez,1254,6.64,81.28836110568312,0.0,1
713,Óscar Trejo,1774,6.64,82.52319237784235,0.0,1
714,Juanfran,1459,6.64,81.77516958797668,0.0,0
715,Juanfran,1459,6.64,81.77516958797668,0.0,0
716,Rubén Pardo,1374,6.63,82.08112265292681,0.0,1
717,Roger Martí,1895,6.63,83.31832860060939,0.0,1
718,Francis,1790,6.63,83.06898767065417,0.0,1
719,David Zurutuza,1223,6.63,81.72254664889596,0.0,1
720,Leo Baptistão,1236,6.61,82.76901839957543,0.0,1
721,Portu,2833,6.61,86.56137521041819,0.0,1
722,Óscar Melendo,2006,6.6,85.10531903701815,0.0,1
723,Gonzalo Escalante,1784,6.59,85.08594155526487,0.0,1
724,Dimitri Foulquier,1809,6.59,85.14530844334945,0.0,1
725,Rober Pier,2855,6.59,87.62921904080815,0.0,1
726,Enes Ünal,2152,6.59,85.95982214786983,0.0,1
727,Douglas Luiz,1487,6.58,84.88846340925778,0.0,0
728,Gustavo Cabral,1898,6.58,85.86445504936825,0.0,0
729,Tomás Vaclik,2970,6.58,88.41010721043489,0.0,1
730,Óscar De Marcos,2427,6.57,87.62845888567557,0.0,1
731,Jordi Masip,3150,6.57,89.34534928908153,0.0,1
732,Markel Susaeta,1380,6.57,85.14217361269345,0.0,0
733,Aleix García,1667,6.56,86.3315059723422,0.0,1
734,Martín Aguirregabiria,2034,6.56,87.2030118894238,0.0,1
735,Andrés Guardado,2340,6.55,88.43746308401671,0.0,1
736,Héctor Moreno,1929,6.55,87.4614714439063,0.0,0
737,Rubén Blanco,2250,6.53,89.23934325578773,0.0,1
738,Álvaro Medrán,1148,6.53,86.62245082901956,0.0,0
739,Keko,1545,6.53,87.56519701180264,0.0,1
740,Javi Moyano,2108,6.52,89.40993981590509,0.0,1
741,Ferrán Torres,843,6.51,86.91377576326317,0.0,1
742,Hernán Pérez,798,6.51,86.80691536471096,0.0,0
743,Damián Musto,1689,6.51,88.92275125604527,0.0,1
744,Manu Trigueros,1549,6.51,88.59029668277168,0.0,1
745,Borja Mayoral,1614,6.5,89.2524510762293,0.0,1
746,David Ferreiro,2277,6.5,90.82686094823225,0.0,1
747,Mubarak Wakaso,1668,6.49,89.88848403892962,0.0,2
748,Loren Morón,1960,6.48,91.0896897761952,0.0,2
749,Juanmi,1522,6.48,90.04958189695344,0.0,0
750,Francisco Portillo,1992,6.47,91.67347987738128,0.0,2
751,Álex Gallar,1004,6.47,89.32730046027876,0.0,2
752,Iago Herrerín,2790,6.46,94.07627142947871,0.0,2
753,Víctor Sánchez,1258,6.46,90.4382685276558,0.0,2
754,Ángel Rodríguez,1821,6.46,91.77521084732047,0.0,2
755,Gonzalo Melero,1347,6.45,91.15741513367459,0.0,2
756,Pablo De Blasis,1517,6.45,91.56110997264972,0.0,2
757,Sergio Postigo,1451,6.44,91.91218187254418,0.0,2
758,Pione Sisto,835,6.44,90.44938175014022,0.0,2
759,Marko Dmitrovic,2160,6.44,93.59582681862281,0.0,2
760,Darko Brasanac,1582,6.44,92.22326436610734,0.0,0
761,Mikel San José,1717,6.44,92.5438455617641,0.0,2
762,Sergio García,1487,6.43,92.50547067582374,0.0,0
763,Kevin Gameiro,1606,6.43,92.78805706310635,0.0,2
764,Anuar Mohamed,1082,6.41,92.55932805772903,0.0,2
765,Antoñito,1855,6.41,94.39495223730415,0.0,2
766,Nabil El Zhar,956,6.4,92.76791942622043,0.0,0
767,Pablo Piatti,735,6.39,92.75091661999056,0.0,2
768,Jonás Ramalho,1620,6.38,95.36030494262229,0.0,2
769,Kike García,1296,6.37,95.09871055748391,0.0,2
770,Álvaro García,1759,6.34,97.72158677812354,0.0,2
771,Sandro Ramírez,1051,6.33,96.54811699200604,0.0,2
772,Borja Bastón,1449,6.31,98.50883881918793,0.0,2
773,Patrick Roberts,596,6.28,98.00664205105534,0.0,2
774,Borja Fernández,842,6.27,99.09861271424535,0.0,0
775,Jozabed Sánchez,1159,6.27,99.85138485515779,0.0,2
776,Daniele Verde,643,6.27,98.6260522850921,0.0,0
777,Aritz Aduriz,941,6.25,100.34930655993571,0.0,2
778,Anthony Lozano,725,6.15,104.91438149126225,0.0,2
779,Fernandinho,2382,7.31,49.94436263873132,0.0,1
780,David Silva,2412,7.26,52.55460532662147,0.0,1
781,Luka Milivojevic,3420,7.19,58.50288164525574,0.0,1
782,Sol Bamba,2477,7.15,58.294764564456386,0.0,1
783,Etienne Capoue,2947,7.13,60.426463029321894,0.0,1
784,Matt Doherty,3147,7.12,61.40919861843628,0.0,1
785,James Tarkowski,3087,7.11,61.77451857147099,0.0,1
786,Shane Duffy,3088,7.11,61.776893246994405,0.0,1
787,Troy Deeney,2548,7.11,60.49456846436749,0.0,1
788,Son Heung-Min,2049,7.1,59.81740586263709,0.0,1
789,David Luiz,3239,7.08,63.65887070433837,0.0,0
790,Philip Billing,2192,7.08,61.17258543135631,0.0,1
791,Shkodran Mustafi,2617,7.05,63.70522398210733,0.0,1
792,Salomón Rondón,2609,7.05,63.68622657792025,0.0,1
793,Jan Bednarek,2151,7.04,63.10642567264853,0.0,1
794,José Holebas,2394,7.0,65.71467376258153,0.0,1
795,Andros Townsend,3018,6.98,68.21207225804801,0.0,1
796,Nacho Monreal,1861,6.97,65.97237316193156,0.0,0
797,Steve Cook,2787,6.96,68.67912318102202,0.0,1
798,Sean Morrison,3040,6.96,69.27991608843797,0.0,1
799,Joshua King,2974,6.96,69.12318750389466,0.0,1
800,Hugo Lloris,2970,6.96,69.11368880180112,0.0,1
801,Isaac Hayden,1864,6.96,66.48729767293946,0.0,1
802,Matt Ritchie,2940,6.95,69.55024902053736,0.0,1
803,Ayoze Pérez,2928,6.95,69.52175291425675,0.0,0
804,Jamie Vardy,2733,6.94,69.56649167163482,0.0,1
805,Michail Antonio,2101,6.92,69.08129770973215,0.0,1
806,James Milner,1787,6.91,68.84345007982756,0.0,1
807,Luke Shaw,2592,6.91,70.75506387615093,0.0,1
808,Nathan Redmond,3278,6.91,72.38409128519174,0.0,1
809,Arthur Masuaku,1758,6.9,69.28238497408717,0.0,1
810,Jan Vertonghen,1915,6.89,70.1630095156961,0.0,1
811,Nathaniel Mendez-Laing,987,6.88,68.46711111443432,0.0,1
812,Séamus Coleman,2560,6.88,72.20247571271591,0.0,1
813,Pierre-Emile Højbjerg,2764,6.87,73.19471000392377,0.0,1
814,James Ward-Prowse,1942,6.87,71.2427267237029,0.0,1
815,Ashley Young,2569,6.87,72.73164827686406,0.0,1
816,Wes Morgan,1926,6.87,71.20473191532875,0.0,1
817,Ben Mee,3420,6.86,75.26029763170084,0.0,1
818,Mario Lemina,1616,6.85,71.48418347195553,0.0,1
819,Jonny,2780,6.85,74.24830578117343,0.0,1
820,James Tomkins,2563,6.85,73.73300119259932,0.0,1
